,total_transactions,unique_days_active,activity_span_days,avg_tx_per_day,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,total_liquidation_usd,net_deposit_usd,net_borrow_usd,borrow_to_deposit_ratio,repay_to_borrow_ratio,liquidation_flag,num_liquidations,liquidation_frequency,unique_assets_deposited,unique_assets_borrowed
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,1,0,1.0,1987.6636548592714,0.0,0.0,0.0,0.0,1987.6636548592714,0.0,0.0,0.0,0,0,0.0,1,0
0x000000000051d07a4fb3bd10121a343d85818da6,1,1,0,1.0,285.69448036149265,0.0,0.0,0.0,0.0,285.69448036149265,0.0,0.0,0.0,0,0,0.0,1,0
0x000000000096026fb41fc39f9875d164bd82e2dc,2,2,7,1.0,0.005152310624158186,0.0,0.0,0.0,0.0,0.005152310624158186,0.0,0.0,0.0,0,0,0.0,1,0
0x0000000000e189dd664b9ab08a33c4839953852c,17,8,129,2.125,0.0,0.0,0.0,989.3606480161836,0.0,-989.3606480161836,0.0,0.0,0.0,0,0,0.0,0,0
0x0000000002032370b971dabd36d72f3e5a7bf1ee,399,104,132,3.8365384615384617,703042.1936326079,60297.62086214079,7.015026379074076e-08,601474.5842378886,0.0,101567.60939471936,60297.620862070646,0.08576671700255135,1.163400193701277e-12,0,0,0.0,6,3
0x000000000a38444e0a6e37d3b630d7e855a7cb13,25,15,39,1.6666666666666667,18390.665686010514,4005.315759483161,4020.4021990859155,9355.620851568488,0.0,9035.044834442026,-15.08643960275458,0.21779068946535962,1.0037666043100435,0,0,0.0,3,2
0x000000003853fcedcd0355fec98ca3192833f00b,8,4,7,2.0,0.09826816369894827,0.0,0.0,0.0,0.0,0.09826816369894827,0.0,0.0,0.0,0,0,0.0,7,0
0x000000003ce0cf2c037493b1dc087204bd7f713e,492,108,123,4.555555555555555,645672.8583488693,134818.43381980777,2738.6960365974764,480324.33472160425,0.0,165348.523627265,132079.7377832103,0.20880300616099745,0.020313958254832523,0,0,0.0,6,6
0x000000007858e6f2668e1e06111cfa24403a5466,1,1,0,1.0,0.14216066648145406,0.0,0.0,0.0,0.0,0.14216066648145406,0.0,0.0,0.0,0,0,0.0,1,0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1,0,1.0,1.7666525037857388,0.0,0.0,0.0,0.0,1.7666525037857388,0.0,0.0,0.0,0,0,0.0,1,0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,69,3,30,23.0,799991.6941682948,597501.9617796154,597568.679828446,801072.9370227363,0.0,-1081.242854441516,-66.71804883063305,0.7468852066030557,1.000111661639791,0,0,0.0,1,1
0x00000029ff545c86524ade7caf132527707948c4,47,2,2,23.5,4223576.434229029,2728428.5255729766,2718056.015133089,4207845.962146074,0.0,15730.472082955763,10372.510439887643,0.6459995617602747,0.9961983572805121,0,0,0.0,4,4
0x00000087c4cebffb95746d1935de7fbcab092f40,250,19,100,13.157894736842104,2105822.4180211225,1239967.7846198103,1211592.5881215525,2058467.7507713996,0.0,47354.66724972287,28375.196498257807,0.5888282763107011,0.9771161824926299,0,0,0.0,7,5
0x000000e28faa823d5b53ff6c2922c28335840375,297,61,137,4.868852459016393,3591030.0282607526,2844679.9569899724,2137806.8647258915,3162704.8548071017,0.0,428325.1734536509,706873.0922640809,0.7921626760575264,0.7515105027800593,0,0,0.0,7,6
0x000006eee6e39015cb523aebdd4d0b1855aba682,28,12,41,2.3333333333333335,42849.15292921578,23007.05925998673,23151.274780815504,100119.514579323,0.0,-57270.361650107225,-144.21552082877315,0.5369314837563536,1.0062683161371948,1,3,0.10714285714285714,5,2
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,1,0,1.0,1.6927543127773312,0.0,0.0,0.0,0.0,1.6927543127773312,0.0,0.0,0.0,0,0,0.0,1,0
0x00001bc47f0973f794f79c16121cee879e272d6a,4,4,47,1.0,0.0,0.0,0.0,13376.360914757215,0.0,-13376.360914757215,0.0,0.0,0.0,0,0,0.0,0,0
0x00002b503a75998c97508916a74fdb41934fa030,147,35,125,4.2,2385945.7028345726,1173398.7155708214,769383.7523691235,1669800.3264067173,0.0,716145.3764278553,404014.9632016979,0.49179606819081834,0.6556882517080672,0,0,0.0,3,5
0x0000897253cc85f7547317eb2080b36b3255687a,2,2,3,1.0,466.1857620663897,0.0,0.0,465.5324000287651,0.0,0.6533620376246176,0.0,0.0,0.0,0,0,0.0,1,0
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,1,0,1.0,1.116218296466259e-12,0.0,0.0,0.0,0.0,1.116218296466259e-12,0.0,0.0,0.0,0,0,0.0,1,0
0x0000ce08fa224696a819877070bf378e8b131acf,14,8,75,1.75,1943.2214782403355,1257.9326580280358,0.0,7492.5065865709985,0.0,-5549.285108330663,1257.9326580280358,0.6473439451519154,0.0,0,0,0.0,2,1
0x00010a708585ba4812a1c5976182626c75cb7a6b,29,11,79,2.6363636363636362,1266.163822154934,1005.79327873559,304.97427486110183,139.9761521814088,0.0,1126.1876699735253,700.8190038744881,0.794362673404924,0.303217650494238,0,0,0.0,5,3
0x00016fc0c9f7620e920e1423fd455f9574f48025,2,2,1,1.0,3.1457592760046476,0.0,0.0,0.0,0.0,3.1457592760046476,0.0,0.0,0.0,0,0,0.0,1,0
0x0002761e848b24046a53d494847b11a3e1d36b09,1,1,0,1.0,1.0022621744374796,0.0,0.0,0.0,0.0,1.0022621744374796,0.0,0.0,0.0,0,0,0.0,1,0
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,2,2,7,1.0,1.0112506095471125,0.0,0.0,0.0,0.0,1.0112506095471125,0.0,0.0,0.0,0,0,0.0,1,0
0x0003816b25fd3d6c112eb65c089760fa3f791947,4,1,0,4.0,7122.699059900505,2946.5930000000017,2946.9505000000063,7118.472277000015,0.0,4.226782900489525,-0.35750000000462023,0.4136905090640123,1.0001213265625775,0,0,0.0,1,1
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,37,20,100,1.85,1617.5242553430003,9.174028183810866e-10,0.0,3561.085108997611,0.0,-1943.5608536546106,9.174028183810866e-10,5.671647985189248e-13,0.0,0,0,0.0,4,1
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,2,1,0,2.0,1049.4935366497111,0.0,0.0,1049.4937715306417,0.0,-0.00023488093052037584,0.0,0.0,0.0,0,0,0.0,1,0
0x0003f46779806fe779e7f30eec95dbdb4d45840b,24,6,82,4.0,2135.7119247812407,2095.927039250547,1474.2672201061496,1349.587734385354,0.0,786.1241903958867,621.6598191443973,0.9813716049111966,0.7033962502021598,0,0,0.0,2,1
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,10,6,82,1.6666666666666667,994.0621402142455,5.056751402199634e-10,5.434854055313202e-10,1335.6428532248508,0.0,-341.58071301060534,-3.781026531135682e-11,5.086957039838351e-13,1.0747718491656713,0,0,0.0,1,1
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,2,1,0,2.0,2741.7593619490026,5.183127324254524e-10,0.0,0.0,0.0,2741.7593619490026,5.183127324254524e-10,1.8904384521076476e-13,0.0,0,0,0.0,1,1
